"Control ID","Control Name","ISO 27001:2022","SOC 2:2022 TSC","SOC 2:2022 CC","Applicability","Justification","Implementation Status","Evidence Location"
"CC-001","Acceptable Use Policy","A.5.1","CC.1.1","CC.1.1","Applicable","Defines acceptable use of IT systems and data for all employees.","Not In Place","[Policy doc folder in Strike Graph]"
"CC-002","Background Check","A.6.2.1","CC.1.4","CC.1.4","Applicable","Required for pre-employment screening; supports personnel security.","Not In Place","[HR procedures folder]"
"CC-003","Board Oversight OR Management Oversight","A.5.1","CC.1.2","CC.1.2","Applicable","Board/management must oversee security strategy and risk.","Not In Place","[Board docs folder]"
"CC-004","Business Continuity","A.12.3.1","CC.8.1, CC.9.1, A.1.2, A.1.3","CC.8.1","Applicable","Required to ensure availability of systems/data during interruptions.","Not In Place","[BC/DR folder in Strike Graph]"
"CC-005","Change Management Policy","A.12.1.1","CC.8.1, CC.5.2, CC.6.1, CC.6.8","CC.8.1","Applicable","Controls changes to systems to prevent unauthorized/unintended modifications.","Not In Place","[Change Mgmt folder]"
"CC-006","Change Management: Application/Software","A.12.1.1","CC.8.1","CC.8.1","Applicable","Specific procedures for application/software changes; part of broader change control.","Not In Place","[Change Mgmt folder]"
"CC-007","Change Management: Emergency Process","A.12.1.1","CC.8.1","CC.8.1","Applicable","Emergency changes (hotfixes, critical patches) require expedited but documented approval.","Not In Place","[Change Mgmt folder]"
"CC-008","Change Management: Infrastructure","A.12.1.1","CC.8.1, A.1.1","CC.8.1","Applicable","Infrastructure changes (network, servers, storage) require change management.","Not In Place","[Change Mgmt folder]"
"CC-009","Change Management: Separation of Duties","A.12.1.1","CC.8.1","CC.8.1","Applicable","Must separate request, approval, and implementation of changes.","Not In Place","[Change Mgmt folder]"
"CC-010","Change Management: Ticketing System","A.12.1.1","CC.8.1","CC.8.1","Applicable","All changes tracked in ticketing system (Jira) with approvals documented.","Not In Place","[Change Mgmt folder]"
"CC-011","Code of Conduct","A.5.1","CC.1.1, CC.3.1","CC.1.1","Applicable","Establishes behavioral expectations and ethical standards for all personnel.","Not In Place","[HR/Policy folder]"
"CC-012","Collection: Reliable Source","A.5.2","P.3.1","—","Not Applicable","Privacy criteria; deferred to Phase 2 (SOC 2 Privacy audit).","Out of Scope (Phase 2)","N/A"
"CC-013","Configuration Standards","A.12.1","CC.7.1, CC.8.1","CC.8.1","Applicable","Defines approved configurations for systems; prevents unauthorized/unintended settings.","Not In Place","[System Admin folder]"
"CC-014","Contracts","A.13.1","CC.2.3, CC.9.2, P.6.1, P.6.4","CC.9.2","Applicable","Vendor/customer contracts must include security requirements and SLA commitments.","Not In Place","[Contracts folder]"
"CC-015","Data Classification Policy","A.2.1","CC.2.1, CC.6.1, C.1.1","CC.2.1","Applicable","Classifies data by sensitivity; supports access control and protection decisions.","Not In Place","[Data Mgmt folder]"
"CC-016","Data Flow Diagram","A.12.6.1","CC.2.1, CC.2.2, CC.6.1","CC.2.1","Applicable","Visual representation of how data flows between systems; identifies protection points.","Not In Place","[Documentation folder]"
"CC-017","Data Management Policy","A.5.2, A.13.1","CC.6.5, C.1.1, C.1.2, P.4.2, P.4.3","CC.6.5","Applicable","Defines data handling, storage, encryption, and transmission standards.","Not In Place","[Data Mgmt folder]"
"CC-018","Data Retention/Deletion","A.5.2, A.18.3","CC.6.5, C.1.1, C.1.2, P.3.2, P.4.2, P.4.3","CC.6.5","Applicable","Specifies how long data is retained; ensures timely deletion when no longer needed.","Not In Place","[Data Mgmt folder]"
"CC-019","Disk Encryption","A.10.2.1","CC.6.1","CC.6.1","Applicable","Encrypts data at rest on all hard drives; prevents data exposure if device is lost/stolen.","Not In Place","[Encryption folder]"
"CC-020","Employee Performance","A.6.2.3","CC.1.1, CC.1.4, CC.1.5","CC.1.1","Applicable","Regular performance reviews support competency and behavioral expectations.","Not In Place","[HR folder]"
"CC-021","Employee Shared Drive","A.8.2.1","CC.2.2","CC.2.2","Applicable","Controls access to shared drives; prevents unauthorized data access.","Not In Place","[Access Control folder]"
"CC-022","Encryption at Rest","A.10.2.1","CC.6.1, PI.1.5","CC.6.1","Applicable","Encrypts data stored in databases, file systems, and backups.","Not In Place","[Encryption folder]"
"CC-023","Encryption in Transit","A.10.2.5","CC.6.1, CC.6.7, PI.1.4","CC.6.1","Applicable","Uses TLS/HTTPS for data in transit between systems; prevents eavesdropping.","Not In Place","[Encryption folder]"
"CC-024","Firewall Rules","A.13.1.3","CC.6.6","CC.6.6","Applicable","Controls network traffic; restricts access to systems based on security policy.","Not In Place","[Network Security folder]"
"CC-025","Incident Response: Employee Responsibility","A.16.1","CC.2.2, CC.7.3, CC.7.4, P.8.1","CC.7.3","Applicable","All employees accountable for reporting security incidents; supports rapid response.","Not In Place","[Incident Response folder]"
"CC-026","Incident Response: Process","A.16.1","CC.2.3, CC.7.3, CC.7.4, CC.7.5","CC.7.3","Applicable","Documented procedures for detecting, investigating, and responding to incidents.","Not In Place","[Incident Response folder]"
"CC-027","Incident Response: Testing","A.16.1.5","CC.7.4, CC.7.5","CC.7.4","Applicable","Regular drills/tabletop exercises test incident response capability; identifies gaps.","Not In Place","[Incident Response folder]"
"CC-028","Incidents External","A.16.1.5","CC.2.2, CC.2.3, CC.9.2","CC.7.3","Applicable","Procedures for reporting incidents to external parties (customers, regulators).","Not In Place","[Incident Response folder]"
