"Risk Name","Risk Category","Risk Owner","Final Impact","Final Likelihood","Final Combined Score","Final Scoring Basis","Needs Strike Graph Upload"
"Acceptable Use of Company Assets","People","chris.wren@cirque.com","Medium","Medium","Medium","Human-factor driven control reliability risk","Yes"
"Antivirus","Technical","chris.wren@cirque.com","Medium","Low","Low","Already marked MITIGATED","Yes"
"Availability","Technical","chris.wren@cirque.com","Low","Low","Low","Deactivated per SOC2 Security-only scope","Yes"
"Business Continuity","Policy","chris.wren@cirque.com","Medium","Medium","Medium","Governance/process weakness increases incident probability","Yes"
"Change Management","Technical","chris.wren@cirque.com","Medium","Medium","Medium","Technical control gaps currently not in place","Yes"
"Compliance with Laws and Regulations","Legal","chris.wren@cirque.com","High","Medium","High","Compliance and contractual exposure","Yes"
"Confidentiality","Legal","chris.wren@cirque.com","Low","Low","Low","Deactivated per SOC2 Security-only scope","Yes"
"Contracts","Legal","chris.wren@cirque.com","High","Medium","High","Compliance and contractual exposure","Yes"
"Control Ownership","People","chris.wren@cirque.com","Medium","Medium","Medium","Human-factor driven control reliability risk","Yes"
"Corporate Monitoring","People","chris.wren@cirque.com","Medium","Medium","Medium","Human-factor driven control reliability risk","Yes"
"Data Breach","Privacy","chris.wren@cirque.com","High","Medium","High","Potential regulatory and customer trust impact","Yes"
"Data Management","Policy","chris.wren@cirque.com","Medium","Medium","Medium","Governance/process weakness increases incident probability","Yes"
"Encryption","Access","chris.wren@cirque.com","High","Medium","High","Privilege and unauthorized access impact","Yes"
"End User Device Protections","Technical","chris.wren@cirque.com","Medium","Medium","Medium","Technical control gaps currently not in place","Yes"
"Environment","Physical","chris.wren@cirque.com","TBD","Low","Low","Activated per scope decision (on-site production + active controls)","Yes"
"External Communications","People","chris.wren@cirque.com","Medium","Medium","Medium","Human-factor driven control reliability risk","Yes"
"Fraud","Fraud","chris.wren@cirque.com","Medium","Low","Low","Lower frequency but meaningful impact","Yes"
"HR Practices","People","chris.wren@cirque.com","Medium","Medium","Medium","Human-factor driven control reliability risk","Yes"
"Incident Management","Policy","chris.wren@cirque.com","Medium","Medium","Medium","Governance/process weakness increases incident probability","Yes"
"Intrusion Detection","Technical","chris.wren@cirque.com","Medium","Medium","Medium","Technical control gaps currently not in place","Yes"
"IT Security Governance","Policy","chris.wren@cirque.com","Medium","Medium","Medium","Governance/process weakness increases incident probability","Yes"
"Network Security","Access","chris.wren@cirque.com","High","Medium","High","Privilege and unauthorized access impact","Yes"
"Password Management","Access","chris.wren@cirque.com","High","Medium","High","Privilege and unauthorized access impact","Yes"
"Patching","Technical","chris.wren@cirque.com","Medium","Medium","Medium","Technical control gaps currently not in place","Yes"
"Physical Access Controls","Physical","chris.wren@cirque.com","TBD","Low","Low","Activated per scope decision (on-site production + active controls)","Yes"
"Planning/Internal Communications","People","chris.wren@cirque.com","Medium","Medium","Medium","Human-factor driven control reliability risk","Yes"
"Privacy of User Data","Privacy","chris.wren@cirque.com","Low","Low","Low","Deactivated per SOC2 Security-only scope","Yes"
"Privileged Access Management","Access","chris.wren@cirque.com","High","Medium","High","Privilege and unauthorized access impact","Yes"
"Processing Integrity","Software","chris.wren@cirque.com","Low","Low","Low","Deactivated per SOC2 Security-only scope","Yes"
"Reporting Lines","People","chris.wren@cirque.com","Medium","Medium","Medium","Human-factor driven control reliability risk","Yes"
"Security Awareness","People","chris.wren@cirque.com","Medium","Medium","Medium","Human-factor driven control reliability risk","Yes"
"Source Code Control","Access","chris.wren@cirque.com","High","Medium","High","Privilege and unauthorized access impact","Yes"
"System Monitoring","Technical","chris.wren@cirque.com","Medium","Medium","Medium","Technical control gaps currently not in place","Yes"
"Systems Configuration","Technical","chris.wren@cirque.com","Medium","Medium","Medium","Technical control gaps currently not in place","Yes"
"User Access Controls","Access","chris.wren@cirque.com","High","Medium","High","Privilege and unauthorized access impact","Yes"
"User Data Collection","Privacy","chris.wren@cirque.com","Low","Low","Low","Deactivated per SOC2 Security-only scope","Yes"
"Vendor Management","Vendor","chris.wren@cirque.com","High","Medium","High","Third-party concentration and supply-chain exposure","Yes"
"Vulnerability Management","Technical","chris.wren@cirque.com","Medium","Medium","Medium","Technical control gaps currently not in place","Yes"
