"EvidenceID","ControlName","Artifact","PrimaryLocation","FilePath","Status"
"EC-001","Acceptable Use Policy","Approved policy version and acknowledgement log","02-Policies","StrikeGraph Upload\02-Policies\EC-001 - Acceptable Use Policy.md","Existing"
"EC-002","Background Check","Background check completion records for sampled hires","06-HR-Organizational","StrikeGraph Upload\06-HR-Organizational\EC-002 - Background Check.md","Existing"
"EC-003","Board Oversight OR Management Oversight","Management review minutes with risk/security agenda","01-Governance","StrikeGraph Upload\01-Governance\EC-003 - Board Oversight OR Management Oversight.md","Existing"
"EC-004","Business Continuity","BCP test report and action tracker","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-004 - Business Continuity.md","Existing"
"EC-005","Change Management Policy","Approved policy and annual review record","02-Policies","StrikeGraph Upload\02-Policies\EC-005 - Change Management Policy.md","Existing"
"EC-006","Change Management: Application/Software","Sample software change tickets with approvals and testing evidence","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-006 - Change Management ApplicationSoftware.md","Existing"
"EC-007","Change Management: Emergency Process","Emergency change ticket + post-implementation review","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-007 - Change Management Emergency Process.md","Existing"
"EC-008","Change Management: Infrastructure","Infrastructure change tickets and implementation logs","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-008 - Change Management Infrastructure.md","Existing"
"EC-009","Change Management: Separation of Duties","SoD matrix and role assignment evidence","01-Governance","StrikeGraph Upload\01-Governance\EC-009 - Change Management Separation of Duties.md","Existing"
"EC-010","Change Management: Ticketing System","Ticketing workflow configuration and audit report","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-010 - Change Management Ticketing System.md","Existing"
"EC-011","Code of Conduct","Signed code of conduct acknowledgements","06-HR-Organizational","StrikeGraph Upload\06-HR-Organizational\EC-011 - Code of Conduct.md","Existing"
"EC-012","Collection: Reliable Source","Data intake/source validation procedure and sample records","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-012 - Collection Reliable Source.md","Existing"
"EC-013","Configuration Standards","Baseline configuration standard and periodic review evidence","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-013 - Configuration Standards.md","Existing"
"EC-014","Contracts","Executed contract samples with security clauses","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-014 - Contracts.md","Existing"
"EC-015","Data Classification Policy","Approved data classification policy and data inventory labels","02-Policies","StrikeGraph Upload\02-Policies\EC-015 - Data Classification Policy.md","Existing"
"EC-016","Data Flow Diagram","Current data flow diagram with approval date","03-System-Documentation","StrikeGraph Upload\03-System-Documentation\EC-016 - Data Flow Diagram.md","Existing"
"EC-017","Data Management Policy","Data handling standard and implementation evidence","02-Policies","StrikeGraph Upload\02-Policies\EC-017 - Data Management Policy.md","Existing"
"EC-018","Data Retention/Deletion","Retention schedule and secure deletion logs","02-Policies","StrikeGraph Upload\02-Policies\EC-018 - Data RetentionDeletion.md","Existing"
"EC-019","Disk Encryption","Endpoint encryption configuration export/report","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-019 - Disk Encryption.md","Existing"
"EC-020","Employee Performance","Performance review process and sample completion records","06-HR-Organizational","StrikeGraph Upload\06-HR-Organizational\EC-020 - Employee Performance.md","Existing"
"EC-021","Employee Shared Drive","Access group membership and permission review output","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-021 - Employee Shared Drive.md","Existing"
"EC-022","Encryption at Rest","Database/storage encryption settings evidence","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-022 - Encryption at Rest.md","Existing"
"EC-023","Encryption in Transit","TLS configuration evidence and scan output","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-023 - Encryption in Transit.md","Existing"
"EC-024","Firewall Rules","Current firewall ruleset and periodic review record","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-024 - Firewall Rules.md","Existing"
"EC-025","Incident Response: Employee Responsibility","Security incident training/awareness evidence","06-HR-Organizational","StrikeGraph Upload\06-HR-Organizational\EC-025 - Incident Response Employee Responsibility.md","Existing"
"EC-026","Incident Response: Process","Incident response procedure and recent incident ticket sample","02-Policies","StrikeGraph Upload\02-Policies\EC-026 - Incident Response Process.md","Existing"
"EC-027","Incident Response: Testing","Incident tabletop test report and remediation actions","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-027 - Incident Response Testing.md","Existing"
"EC-028","Incidents External","External incident notification decision logs","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-028 - Incidents External.md","Existing"
"EC-029","Intrusion Detection","IDS/EDR alert sample and investigation records","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-029 - Intrusion Detection.md","Existing"
"EC-030","Job Descriptions","Current job descriptions for key roles","06-HR-Organizational","StrikeGraph Upload\06-HR-Organizational\EC-030 - Job Descriptions.md","Existing"
"EC-031","Logical Access Policy","Approved access policy and review history","02-Policies","StrikeGraph Upload\02-Policies\EC-031 - Logical Access Policy.md","Existing"
"EC-032","Monitoring Infrastructure","Monitoring coverage inventory and alert routing config","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-032 - Monitoring Infrastructure.md","Existing"
"EC-033","Network Diagram","Current network diagram with controlled revision","03-System-Documentation","StrikeGraph Upload\03-System-Documentation\EC-033 - Network Diagram.md","Existing"
"EC-034","Non Disclosure Agreement","Signed NDA samples for staff/contractors/vendors","06-HR-Organizational","StrikeGraph Upload\06-HR-Organizational\EC-034 - Non Disclosure Agreement.md","Existing"
"EC-035","Organizational Chart","Latest approved org chart","06-HR-Organizational","StrikeGraph Upload\06-HR-Organizational\EC-035 - Organizational Chart.md","Existing"
"EC-036","Password Requirements","Password policy configuration screenshots/exports","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-036 - Password Requirements.md","Existing"
"EC-037","Provisioning","Access provisioning tickets and approvals","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-037 - Provisioning.md","Existing"
"EC-038","Risk Assessment Action Plans","Risk treatment plans with owners and due dates","05-Risk-Management","StrikeGraph Upload\05-Risk-Management\EC-038 - Risk Assessment Action Plans.md","Existing"
"EC-039","Risk Assessment Methodology","Approved risk methodology and scoring criteria","05-Risk-Management","StrikeGraph Upload\05-Risk-Management\EC-039 - Risk Assessment Methodology.md","Existing"
"EC-040","Risk Assessment Policy","Approved risk policy and annual review record","02-Policies","StrikeGraph Upload\02-Policies\EC-040 - Risk Assessment Policy.md","Existing"
"EC-041","Security Training","Security training completion report and curriculum","06-HR-Organizational","StrikeGraph Upload\06-HR-Organizational\EC-041 - Security Training.md","Existing"
"EC-042","Separation of Duties: Developers","Role/access segregation evidence for development roles","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-042 - Separation of Duties Developers.md","Existing"
"EC-043","Separation of Duties: IT Operations","Role/access segregation evidence for IT operations roles","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-043 - Separation of Duties IT Operations.md","Existing"
"EC-044","Separation of Environments","Environment separation design and access boundaries","03-System-Documentation","StrikeGraph Upload\03-System-Documentation\EC-044 - Separation of Environments.md","Existing"
"EC-045","System Description","Current system description document","03-System-Documentation","StrikeGraph Upload\03-System-Documentation\EC-045 - System Description.md","Existing"
"EC-046","Termination of Access","Termination tickets and deprovision completion evidence","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-046 - Termination of Access.md","Existing"
"EC-047","Third Party SOC2","Vendor SOC reports and review records","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-047 - Third Party SOC2.md","Existing"
"EC-048","User Access Review","Periodic user access review report and approvals","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-048 - User Access Review.md","Existing"
"EC-049","User Authentication","Authentication method standard and identity platform settings","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-049 - User Authentication.md","Existing"
"EC-050","Vendor Due Diligence","Vendor due diligence checklist and decision records","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-050 - Vendor Due Diligence.md","Existing"
"EC-051","Vendor Management Policy","Approved vendor management policy and review log","02-Policies","StrikeGraph Upload\02-Policies\EC-051 - Vendor Management Policy.md","Existing"
"EC-052","Vendor Review","Periodic vendor review minutes and findings","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-052 - Vendor Review.md","Existing"
"EC-053","Vendor Risk Register","Vendor risk register export and treatment actions","05-Risk-Management","StrikeGraph Upload\05-Risk-Management\EC-053 - Vendor Risk Register.md","Existing"
"EC-054","Vulnerability Scan","Vulnerability scan reports and remediation tracking","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-054 - Vulnerability Scan.md","Existing"
"EC-055","Asset Inventory","Current asset inventory export with ownership/classification","04-Control-Procedures","StrikeGraph Upload\04-Control-Procedures\EC-055 - Asset Inventory.md","Existing"
"EC-056","Administrator Access","Privileged access list and review approvals","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-056 - Administrator Access.md","Existing"
"EC-057","Antivirus","Endpoint protection status report and detection logs","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-057 - Antivirus.md","Existing"
"EC-058","Automatic Patching","Patch deployment report and exception approvals","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-058 - Automatic Patching.md","Existing"
