"Risk Name","Risk Category","Risk Progress","Risk Owner","Score Complete","Needs Scope Decision","Active Controls","Required Action"
"Acceptable Use of Company Assets","People","IDENTIFIED","chris.wren@cirque.com","No","No","Acceptable Use Policy, Antivirus","Set impact/likelihood/combined score and treatment"
"Antivirus","Technical","MITIGATED","chris.wren@cirque.com","Yes","No","Antivirus","Validate control-evidence linkage and retain periodic review record"
"Availability","Technical","IDENTIFIED","chris.wren@cirque.com","No","Yes","Monitoring Infrastructure","Decide in/out of scope for Security-only vs +Confidentiality/Availability/Privacy/PI; Set impact/likelihood/combined score and treatment"
"Business Continuity","Policy","IDENTIFIED","chris.wren@cirque.com","No","No","Business Continuity","Set impact/likelihood/combined score and treatment"
"Change Management","Technical","IDENTIFIED","chris.wren@cirque.com","No","No","Change Management: Application/Software, Change Management: Infrastructure, Change Management Policy, Separation of Environments, Change Management: Emergency Process, Change Management: Separation of Duties, Change Management: Ticketing System","Set impact/likelihood/combined score and treatment"
"Compliance with Laws and Regulations","Legal","IDENTIFIED","chris.wren@cirque.com","No","No","Data Retention/Deletion, Risk Assessment Methodology","Set impact/likelihood/combined score and treatment"
"Confidentiality","Legal","IDENTIFIED","chris.wren@cirque.com","No","Yes","Data Retention/Deletion, Non Disclosure Agreement","Decide in/out of scope for Security-only vs +Confidentiality/Availability/Privacy/PI; Set impact/likelihood/combined score and treatment"
"Contracts","Legal","IDENTIFIED","chris.wren@cirque.com","No","No","Contracts","Set impact/likelihood/combined score and treatment"
"Control Ownership","People","IDENTIFIED","chris.wren@cirque.com","No","No","","Set impact/likelihood/combined score and treatment"
"Corporate Monitoring","People","IDENTIFIED","chris.wren@cirque.com","No","No","Board Oversight OR Management Oversight","Set impact/likelihood/combined score and treatment"
"Data Breach","Privacy","IDENTIFIED","chris.wren@cirque.com","No","No","Incident Response: Employee Responsibility, Incidents External","Set impact/likelihood/combined score and treatment"
"Data Management","Policy","IDENTIFIED","chris.wren@cirque.com","No","No","Data Flow Diagram, Data Management Policy, Asset Inventory, Data Classification Policy, Data Retention/Deletion","Set impact/likelihood/combined score and treatment"
"Encryption","Access","IDENTIFIED","chris.wren@cirque.com","No","No","Encryption in Transit, Encryption at Rest","Set impact/likelihood/combined score and treatment"
"End User Device Protections","Technical","IDENTIFIED","chris.wren@cirque.com","No","No","Antivirus, Disk Encryption","Set impact/likelihood/combined score and treatment"
"Environment","Physical","IDENTIFIED","chris.wren@cirque.com","No","Yes","","Decide in/out of scope for Security-only vs +Confidentiality/Availability/Privacy/PI; Set impact/likelihood/combined score and treatment"
"External Communications","People","IDENTIFIED","chris.wren@cirque.com","No","No","Incidents External","Set impact/likelihood/combined score and treatment"
"Fraud","Fraud","IDENTIFIED","chris.wren@cirque.com","No","No","Background Check, Risk Assessment Methodology","Set impact/likelihood/combined score and treatment"
"HR Practices","People","IDENTIFIED","chris.wren@cirque.com","No","No","Background Check, Employee Performance","Set impact/likelihood/combined score and treatment"
"Incident Management","Policy","IDENTIFIED","chris.wren@cirque.com","No","No","Incidents External, Incident Response: Employee Responsibility, Incident Response: Testing, Incident Response: Process","Set impact/likelihood/combined score and treatment"
"Intrusion Detection","Technical","IDENTIFIED","chris.wren@cirque.com","No","No","Intrusion Detection","Set impact/likelihood/combined score and treatment"
"IT Security Governance","Policy","IDENTIFIED","chris.wren@cirque.com","No","No","","Set impact/likelihood/combined score and treatment"
"Network Security","Access","IDENTIFIED","chris.wren@cirque.com","No","No","Intrusion Detection, Vulnerability Scan, Firewall Rules","Set impact/likelihood/combined score and treatment"
"Password Management","Access","IDENTIFIED","chris.wren@cirque.com","No","No","Password Requirements, User Authentication, Logical Access Policy","Set impact/likelihood/combined score and treatment"
"Patching","Technical","IDENTIFIED","chris.wren@cirque.com","No","No","Automatic Patching, Vulnerability Scan","Set impact/likelihood/combined score and treatment"
"Physical Access Controls","Physical","IDENTIFIED","chris.wren@cirque.com","No","Yes","Termination of Access","Decide in/out of scope for Security-only vs +Confidentiality/Availability/Privacy/PI; Set impact/likelihood/combined score and treatment"
"Planning/Internal Communications","People","IDENTIFIED","chris.wren@cirque.com","No","No","Employee Shared Drive, Board Oversight OR Management Oversight","Set impact/likelihood/combined score and treatment"
"Privacy of User Data","Privacy","IDENTIFIED","chris.wren@cirque.com","No","Yes","","Decide in/out of scope for Security-only vs +Confidentiality/Availability/Privacy/PI; Set impact/likelihood/combined score and treatment"
"Privileged Access Management","Access","IDENTIFIED","chris.wren@cirque.com","No","No","Separation of Duties: IT Operations, Administrator Access","Set impact/likelihood/combined score and treatment"
"Processing Integrity","Software","IDENTIFIED","chris.wren@cirque.com","No","Yes","","Decide in/out of scope for Security-only vs +Confidentiality/Availability/Privacy/PI; Set impact/likelihood/combined score and treatment"
"Reporting Lines","People","IDENTIFIED","chris.wren@cirque.com","No","No","Job Descriptions, Organizational Chart, Board Oversight OR Management Oversight","Set impact/likelihood/combined score and treatment"
"Security Awareness","People","IDENTIFIED","chris.wren@cirque.com","No","No","Incident Response: Employee Responsibility, Security Training","Set impact/likelihood/combined score and treatment"
"Source Code Control","Access","IDENTIFIED","chris.wren@cirque.com","No","No","Separation of Duties: Developers, Change Management: Application/Software","Set impact/likelihood/combined score and treatment"
"System Monitoring","Technical","IDENTIFIED","chris.wren@cirque.com","No","No","Intrusion Detection, Monitoring Infrastructure","Set impact/likelihood/combined score and treatment"
"Systems Configuration","Technical","IDENTIFIED","chris.wren@cirque.com","No","No","Network Diagram, Configuration Standards","Set impact/likelihood/combined score and treatment"
"User Access Controls","Access","IDENTIFIED","chris.wren@cirque.com","No","No","Logical Access Policy, User Access Review, Termination of Access, Provisioning, User Authentication","Set impact/likelihood/combined score and treatment"
"User Data Collection","Privacy","IDENTIFIED","chris.wren@cirque.com","No","Yes","Collection: Reliable Source","Decide in/out of scope for Security-only vs +Confidentiality/Availability/Privacy/PI; Set impact/likelihood/combined score and treatment"
"Vendor Management","Vendor","IDENTIFIED","chris.wren@cirque.com","No","No","Vendor Risk Register, Third Party SOC2, Vendor Review, Vendor Management Policy, Vendor Due Diligence","Set impact/likelihood/combined score and treatment"
"Vulnerability Management","Technical","IDENTIFIED","chris.wren@cirque.com","No","No","Vulnerability Scan","Set impact/likelihood/combined score and treatment"
