Evidence Name,Evidence Description,Expiration Schedule,Expiration Date,Inactive/Active,Evidence Owner,Type
"Acceptable Use Policy","Provide the Acceptable Use Policy. If you have already uploaded signed versions of the policy, you may deactivate this evidence item.",364,null,TRUE,"hannah.hermansen@cirque.com","Policy"
"Access Removal Procedures/Checklist","Provide the procedures or completed checklist used by IT to remove system access when employees are terminated.",90,null,TRUE,"hannah.hermansen@cirque.com","Policy"
"Access Request - Current Employee","Provide the documented approval for the most recent current employee's request to access new IT tool(s). This could be a ticket from the ticketing system. It should show the tool(s) that access is being granted to, as well as who approved the access, and the date of approval.",90,null,TRUE,null,"Sample"
"Access Request - New Hire","Provide the documented approval for the most recent new hire's request to access IT tools. This could be a ticket or onboarding checklist. It should show the tools that access is being granted to, as well as who approved the access and the date of approval. In some organizations, basic access is automatically granted upon hire and captured on the onboarding checklist.",30,null,TRUE,null,"Sample"
"Access Termination Ticket","Provide a completed access termination ticket for the most recently terminated staff member.",90,null,TRUE,"hannah.hermansen@cirque.com","Sample"
"Administrator Access to Application","Provide a system-generated list of administrative users for applications in scope. If uploading a manually created screenshot as evidence, it should include the date/time stamp to be valid.",364,"03/01/2027",TRUE,"chris.wren@cirque.com","General"
"Administrator Access to Database","Provide a system-generated list of the administrative users to all databases in scope. If uploading a manually created screenshot as evidence, it should include the date/time stamp to be valid.",364,"03/01/2027",TRUE,"chris.wren@cirque.com","General"
"Administrator Access to Network/Cloud","Provide a system-generated list of the administrative users to in-scope networks or cloud environments. If uploading a manually created screenshot as evidence, it should include the date/time stamp to be valid.",364,"03/01/2027",TRUE,"chris.wren@cirque.com","General"
"Administrator Access to Operating System","Provide a system-generated list of administrative users to the operating systems in scope. The list should include the user name, user ID, and account creation date, if possible. If uploading a manually created screenshot as evidence, it should include the date/time stamp to be valid.",364,"03/01/2027",TRUE,"chris.wren@cirque.com","General"
"Annual Employee Training","Provide the list or report showing who completed the annual IT security training during the audit period.",364,null,TRUE,null,"Sample"
"Antivirus Configuration - Server","Provide the antivirus configuration for each in-scope server. The screenshot should show that show the anti-virus software is up to date. If uploading a manually created screenshot as evidence, it should include the date/time stamp to be valid. Alternatively, provide MDM tool settings and/or a current dashboard showing all devices enabled.",364,"03/01/2027",TRUE,"chris.wren@cirque.com","Settings"
"Antivirus Configuration - Workstation","Provide antivirus configuration set to run on workstations. If uploading a manually created screenshot as evidence, it should include the date/time stamp to be valid. Alternatively, provide MDM tool settings and/or a current dashboard showing all devices enabled.",364,"03/01/2027",TRUE,"chris.wren@cirque.com","Settings"
"Application/Software Change List Parameters","Provide the parameters used to generate the list of software/applications code/configuration changes deployed to production for the audit period. If uploading a manually created screenshot as evidence, it should include the date/time stamp to be valid.",364,null,TRUE,"bdm@cirque.com","Population"
