"Risk ID","Risk Name","Category","Impact","Likelihood","Combined Score","Owner","Status"
"R-001","Acceptable Use of Company Assets","People","Medium","Medium","Medium","chris.wren@cirque.com","Active"
"R-002","Antivirus","Technical","Medium","Low","Low","chris.wren@cirque.com","Mitigated"
"R-003","Availability","Technical","Low","Low","Low","chris.wren@cirque.com","Out of Scope"
"R-004","Business Continuity","Policy","Medium","Medium","Medium","chris.wren@cirque.com","Active"
"R-005","Change Management","Technical","Medium","Medium","Medium","chris.wren@cirque.com","Active"
"R-006","Compliance with Laws and Regulations","Legal","High","Medium","High","chris.wren@cirque.com","Active"
"R-007","Confidentiality","Legal","Low","Low","Low","chris.wren@cirque.com","Out of Scope"
"R-008","Contracts","Legal","High","Medium","High","chris.wren@cirque.com","Active"
"R-009","Control Ownership","People","Medium","Medium","Medium","chris.wren@cirque.com","Active"
"R-010","Corporate Monitoring","People","Medium","Medium","Medium","chris.wren@cirque.com","Active"
"R-011","Data Breach","Privacy","High","Medium","High","chris.wren@cirque.com","Active"
"R-012","Data Management","Policy","Medium","Medium","Medium","chris.wren@cirque.com","Active"
"R-013","Encryption","Access","High","Medium","High","chris.wren@cirque.com","Active"
"R-014","End User Device Protections","Technical","Medium","Medium","Medium","chris.wren@cirque.com","Active"
"R-015","Environment","Physical","Medium","Low","Low","chris.wren@cirque.com","Active"
"R-016","External Communications","People","Medium","Medium","Medium","chris.wren@cirque.com","Active"
"R-017","Fraud","Fraud","Medium","Low","Low","chris.wren@cirque.com","Mitigated"
"R-018","HR Practices","People","Medium","Medium","Medium","chris.wren@cirque.com","Active"
"R-019","Incident Management","Policy","Medium","Medium","Medium","chris.wren@cirque.com","Active"
"R-020","Intrusion Detection","Technical","Medium","Medium","Medium","chris.wren@cirque.com","Active"
"R-021","IT Security Governance","Policy","Medium","Medium","Medium","chris.wren@cirque.com","Active"
"R-022","Network Security","Access","High","Medium","High","chris.wren@cirque.com","Active"
"R-023","Password Management","Access","High","Medium","High","chris.wren@cirque.com","Active"
"R-024","Patching","Technical","Medium","Medium","Medium","chris.wren@cirque.com","Active"
"R-025","Physical Access Controls","Physical","Medium","Low","Low","chris.wren@cirque.com","Active"
"R-026","Planning/Internal Communications","People","Medium","Medium","Medium","chris.wren@cirque.com","Active"
"R-027","Privacy of User Data","Privacy","Low","Low","Low","chris.wren@cirque.com","Out of Scope"
"R-028","Privileged Access Management","Access","High","Medium","High","chris.wren@cirque.com","Active"
"R-029","Processing Integrity","Software","Low","Low","Low","chris.wren@cirque.com","Out of Scope"
"R-030","Reporting Lines","People","Medium","Medium","Medium","chris.wren@cirque.com","Active"
"R-031","Security Awareness","People","Medium","Medium","Medium","chris.wren@cirque.com","Active"
"R-032","Source Code Control","Access","High","Medium","High","chris.wren@cirque.com","Active"
"R-033","System Monitoring","Technical","Medium","Medium","Medium","chris.wren@cirque.com","Active"
"R-034","Systems Configuration","Technical","Medium","Medium","Medium","chris.wren@cirque.com","Active"
"R-035","User Access Controls","Access","High","Medium","High","chris.wren@cirque.com","Active"
"R-036","User Data Collection","Privacy","Low","Low","Low","chris.wren@cirque.com","Out of Scope"
"R-037","Vendor Management","Vendor","High","Medium","High","chris.wren@cirque.com","Active"
"R-038","Vulnerability Management","Technical","Medium","Medium","Medium","chris.wren@cirque.com","Active"
