"Risk Name","Risk Category","Risk Owner","Proposed Impact","Proposed Likelihood","Proposed Combined Score","Scoring Basis","Needs Scope Decision"
"Acceptable Use of Company Assets","People","chris.wren@cirque.com","Medium","Medium","Medium","Human-factor driven control reliability risk","No"
"Antivirus","Technical","chris.wren@cirque.com","Medium","Low","Low","Already marked MITIGATED","No"
"Availability","Technical","chris.wren@cirque.com","TBD","TBD","TBD","Scope decision pending","Yes"
"Business Continuity","Policy","chris.wren@cirque.com","Medium","Medium","Medium","Governance/process weakness increases incident probability","No"
"Change Management","Technical","chris.wren@cirque.com","Medium","Medium","Medium","Technical control gaps currently not in place","No"
"Compliance with Laws and Regulations","Legal","chris.wren@cirque.com","High","Medium","High","Compliance and contractual exposure","No"
"Confidentiality","Legal","chris.wren@cirque.com","TBD","TBD","TBD","Scope decision pending","Yes"
"Contracts","Legal","chris.wren@cirque.com","High","Medium","High","Compliance and contractual exposure","No"
"Control Ownership","People","chris.wren@cirque.com","Medium","Medium","Medium","Human-factor driven control reliability risk","No"
"Corporate Monitoring","People","chris.wren@cirque.com","Medium","Medium","Medium","Human-factor driven control reliability risk","No"
"Data Breach","Privacy","chris.wren@cirque.com","High","Medium","High","Potential regulatory and customer trust impact","No"
"Data Management","Policy","chris.wren@cirque.com","Medium","Medium","Medium","Governance/process weakness increases incident probability","No"
"Encryption","Access","chris.wren@cirque.com","High","Medium","High","Privilege and unauthorized access impact","No"
"End User Device Protections","Technical","chris.wren@cirque.com","Medium","Medium","Medium","Technical control gaps currently not in place","No"
"Environment","Physical","chris.wren@cirque.com","TBD","TBD","TBD","Scope decision pending","Yes"
"External Communications","People","chris.wren@cirque.com","Medium","Medium","Medium","Human-factor driven control reliability risk","No"
"Fraud","Fraud","chris.wren@cirque.com","Medium","Low","Low","Lower frequency but meaningful impact","No"
"HR Practices","People","chris.wren@cirque.com","Medium","Medium","Medium","Human-factor driven control reliability risk","No"
"Incident Management","Policy","chris.wren@cirque.com","Medium","Medium","Medium","Governance/process weakness increases incident probability","No"
"Intrusion Detection","Technical","chris.wren@cirque.com","Medium","Medium","Medium","Technical control gaps currently not in place","No"
"IT Security Governance","Policy","chris.wren@cirque.com","Medium","Medium","Medium","Governance/process weakness increases incident probability","No"
"Network Security","Access","chris.wren@cirque.com","High","Medium","High","Privilege and unauthorized access impact","No"
"Password Management","Access","chris.wren@cirque.com","High","Medium","High","Privilege and unauthorized access impact","No"
"Patching","Technical","chris.wren@cirque.com","Medium","Medium","Medium","Technical control gaps currently not in place","No"
"Physical Access Controls","Physical","chris.wren@cirque.com","TBD","TBD","TBD","Scope decision pending","Yes"
"Planning/Internal Communications","People","chris.wren@cirque.com","Medium","Medium","Medium","Human-factor driven control reliability risk","No"
"Privacy of User Data","Privacy","chris.wren@cirque.com","TBD","TBD","TBD","Scope decision pending","Yes"
"Privileged Access Management","Access","chris.wren@cirque.com","High","Medium","High","Privilege and unauthorized access impact","No"
"Processing Integrity","Software","chris.wren@cirque.com","TBD","TBD","TBD","Scope decision pending","Yes"
"Reporting Lines","People","chris.wren@cirque.com","Medium","Medium","Medium","Human-factor driven control reliability risk","No"
"Security Awareness","People","chris.wren@cirque.com","Medium","Medium","Medium","Human-factor driven control reliability risk","No"
"Source Code Control","Access","chris.wren@cirque.com","High","Medium","High","Privilege and unauthorized access impact","No"
"System Monitoring","Technical","chris.wren@cirque.com","Medium","Medium","Medium","Technical control gaps currently not in place","No"
"Systems Configuration","Technical","chris.wren@cirque.com","Medium","Medium","Medium","Technical control gaps currently not in place","No"
"User Access Controls","Access","chris.wren@cirque.com","High","Medium","High","Privilege and unauthorized access impact","No"
"User Data Collection","Privacy","chris.wren@cirque.com","TBD","TBD","TBD","Scope decision pending","Yes"
"Vendor Management","Vendor","chris.wren@cirque.com","High","Medium","High","Third-party concentration and supply-chain exposure","No"
"Vulnerability Management","Technical","chris.wren@cirque.com","Medium","Medium","Medium","Technical control gaps currently not in place","No"
