Control Name,Control Description,Control Frequency,Control Owner,Control Progress,Inactive/Active,Audit Alignment
"Acceptable Use Policy","All staff sign an Acceptable Use Policy, which outlines rules for the acceptable use of information associated with information and information processing, as well as, appropriate procedures for compliance with legislative, regulatory, and contractual requirements related to proprietary software services.","As Needed","brenda.milian@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.1.1"
"Administrator Access","Internal administrator access to the application, database, network, VPN, and operating system is restricted to authorized users.","Daily","chris.wren@cirque.com","In Place",TRUE,"SOC2:2022.CC.6.2, SOC2:2022.CC.6.3"
"Antivirus","Antivirus is installed on all workstations and servers to help protect against viruses and malicious software on the systems.","Daily","chris.wren@cirque.com","In Place",TRUE,"SOC2:2022.CC.6.7, SOC2:2022.CC.6.8"
"Asset Inventory","An inventory of information assets, including hardware and software, is maintained and updated at least annually. All assets have an assigned asset owner. All assets are classified based on the data classification convention.","Weekly","chris.wren@cirque.com","Partially In Place",TRUE,"SOC2:2022.C.1.1, SOC2:2022.CC.2.1, SOC2:2022.CC.6.1"
"Automatic Patching","Servers are configured to automatically install critical security patches.","Continuous","chris.wren@cirque.com","In Place",TRUE,"SOC2:2022.CC.8.1"
"Background Check","Background/reference checks are required prior to hire.","As Needed","brenda.milian@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.1.4"
"Board Oversight OR Management Oversight","The board of directors operates independently of management and meets quarterly to oversee the organization's internal control objectives OR Company founders and department leads meet quarterly to assess organizational objectives.","Quarterly","bdm@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.1.2"
"Business Continuity","A Business Continuity Plan has been developed. The plan identifies a process, roles, and milestones for maintaining business continuity and restoring system functionality in the event of major disruption. The plan is reviewed and tested annually. Disaster recovery is included within the Business Continuity Plan.","Annually","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.A.1.2, SOC2:2022.A.1.3, SOC2:2022.CC.8.1, SOC2:2022.CC.9.1"
"Change Management: Application/Software","All application changes for internally developed software are developed, tested, and approved prior to implementation.","As Needed","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.8.1"
"Change Management: Emergency Process","An emergency change process is followed for changes required in urgent situations.","As Needed","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.8.1"
"Change Management: Infrastructure","Infrastructure changes are tested, reviewed, and approved by authorized personnel prior to implementation.","As Needed","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.A.1.1, SOC2:2022.CC.8.1"
"Change Management Policy","A Change Management Policy and Procedures are in place to request, document, test, and approve changes. The head of IT is responsible for ensuring that changes to IT services are made in a manner appropriate to their impact on operations. All technology acquisition, development, and maintenance processes are governed by change management procedures. The policy is reviewed at least annually and re-distributed to staff, as needed.","Annually","chris.wren@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.5.2, SOC2:2022.CC.6.1, SOC2:2022.CC.6.8, SOC2:2022.CC.8.1"
"Change Management: Separation of Duties","Separation of duties exist during the infrastructure and application change process.","Continuous","brenda.milian@cirque.com","Not In Place",TRUE,"SOC2:2022.CC.8.1"
