"EvidenceID","ControlName","PrimaryLocation","FilePath"
"EC-001","Acceptable Use Policy","02-Policies","StrikeGraph Upload\02-Policies\EC-001 - Acceptable Use Policy.md"
"EC-002","Background Check","06-HR-Organizational","StrikeGraph Upload\06-HR-Organizational\EC-002 - Background Check.md"
"EC-003","Board Oversight OR Management Oversight","01-Governance","StrikeGraph Upload\01-Governance\EC-003 - Board Oversight OR Management Oversight.md"
"EC-004","Business Continuity","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-004 - Business Continuity.md"
"EC-005","Change Management Policy","02-Policies","StrikeGraph Upload\02-Policies\EC-005 - Change Management Policy.md"
"EC-006","Change Management: Application/Software","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-006 - Change Management ApplicationSoftware.md"
"EC-007","Change Management: Emergency Process","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-007 - Change Management Emergency Process.md"
"EC-008","Change Management: Infrastructure","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-008 - Change Management Infrastructure.md"
"EC-009","Change Management: Separation of Duties","01-Governance","StrikeGraph Upload\01-Governance\EC-009 - Change Management Separation of Duties.md"
"EC-010","Change Management: Ticketing System","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-010 - Change Management Ticketing System.md"
"EC-011","Code of Conduct","06-HR-Organizational","StrikeGraph Upload\06-HR-Organizational\EC-011 - Code of Conduct.md"
"EC-012","Collection: Reliable Source","07-Operational-Evidence","StrikeGraph Upload\07-Operational-Evidence\EC-012 - Collection Reliable Source.md"
