"Control Name","Control Progress","Priority","Control Frequency","Control Owner","Primary Domain","Audit Alignment","Immediate Next Step"
"Acceptable Use Policy","Not In Place","P1-Critical","As Needed","brenda.milian@cirque.com","SOC2:2022.CC.1.1","SOC2:2022.CC.1.1","Draft control procedure, assign owner, define evidence, run first execution"
"Background Check","Not In Place","P1-Critical","As Needed","brenda.milian@cirque.com","SOC2:2022.CC.1.4","SOC2:2022.CC.1.4","Draft control procedure, assign owner, define evidence, run first execution"
"Board Oversight OR Management Oversight","Not In Place","P1-Critical","Quarterly","bdm@cirque.com","SOC2:2022.CC.1.2","SOC2:2022.CC.1.2","Draft control procedure, assign owner, define evidence, run first execution"
"Business Continuity","Not In Place","P1-Critical","Annually","chris.wren@cirque.com","SOC2:2022.A.1.2","SOC2:2022.A.1.2, SOC2:2022.A.1.3, SOC2:2022.CC.8.1, SOC2:2022.CC.9.1","Draft control procedure, assign owner, define evidence, run first execution"
"Change Management Policy","Not In Place","P1-Critical","Annually","chris.wren@cirque.com","SOC2:2022.CC.5.2","SOC2:2022.CC.5.2, SOC2:2022.CC.6.1, SOC2:2022.CC.6.8, SOC2:2022.CC.8.1","Draft control procedure, assign owner, define evidence, run first execution"
"Change Management: Application/Software","Not In Place","P1-Critical","As Needed","chris.wren@cirque.com","SOC2:2022.CC.8.1","SOC2:2022.CC.8.1","Draft control procedure, assign owner, define evidence, run first execution"
"Change Management: Emergency Process","Not In Place","P1-Critical","As Needed","chris.wren@cirque.com","SOC2:2022.CC.8.1","SOC2:2022.CC.8.1","Draft control procedure, assign owner, define evidence, run first execution"
"Change Management: Infrastructure","Not In Place","P1-Critical","As Needed","chris.wren@cirque.com","SOC2:2022.A.1.1","SOC2:2022.A.1.1, SOC2:2022.CC.8.1","Draft control procedure, assign owner, define evidence, run first execution"
"Change Management: Separation of Duties","Not In Place","P1-Critical","Continuous","brenda.milian@cirque.com","SOC2:2022.CC.8.1","SOC2:2022.CC.8.1","Draft control procedure, assign owner, define evidence, run first execution"
"Change Management: Ticketing System","Not In Place","P1-Critical","Continuous","chris.wren@cirque.com","SOC2:2022.CC.8.1","SOC2:2022.CC.8.1","Draft control procedure, assign owner, define evidence, run first execution"
"Code of Conduct","Not In Place","P1-Critical","As Needed","brenda.milian@cirque.com","SOC2:2022.CC.1.1","SOC2:2022.CC.1.1, SOC2:2022.CC.3.1","Draft control procedure, assign owner, define evidence, run first execution"
"Collection: Reliable Source","Not In Place","P1-Critical","As Needed","chris.wren@cirque.com","SOC2:2022.P.3.1","SOC2:2022.P.3.1","Draft control procedure, assign owner, define evidence, run first execution"
"Configuration Standards","Not In Place","P1-Critical","Annually","chris.wren@cirque.com","SOC2:2022.CC.7.1","SOC2:2022.CC.7.1, SOC2:2022.CC.8.1","Draft control procedure, assign owner, define evidence, run first execution"
"Contracts","Not In Place","P1-Critical","As Needed","chris.wren@cirque.com","SOC2:2022.CC.2.3","SOC2:2022.CC.2.3, SOC2:2022.CC.9.2, SOC2:2022.P.6.1, SOC2:2022.P.6.4","Draft control procedure, assign owner, define evidence, run first execution"
"Data Classification Policy","Not In Place","P1-Critical","Annually","chris.wren@cirque.com","SOC2:2022.C.1.1","SOC2:2022.C.1.1, SOC2:2022.CC.2.1, SOC2:2022.CC.6.1","Draft control procedure, assign owner, define evidence, run first execution"
"Data Flow Diagram","Not In Place","P1-Critical","Annually","chris.wren@cirque.com","SOC2:2022.CC.2.1","SOC2:2022.CC.2.1, SOC2:2022.CC.2.2, SOC2:2022.CC.6.1","Draft control procedure, assign owner, define evidence, run first execution"
"Data Management Policy","Not In Place","P1-Critical","Annually","chris.wren@cirque.com","SOC2:2022.C.1.1","SOC2:2022.C.1.1, SOC2:2022.C.1.2, SOC2:2022.CC.6.5, SOC2:2022.P.4.2, SOC2:2022.P.4.3","Draft control procedure, assign owner, define evidence, run first execution"
