"Control ID","Control Name","TSC Mapping","Domain","Owner","Frequency","Progress","Evidence Requirements"
"CC-001","Acceptable Use Policy","SOC2:2022.CC.1.1","Governance","brenda.milian@cirque.com","As Needed","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-002","Background Check","SOC2:2022.CC.1.4","Governance","brenda.milian@cirque.com","As Needed","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-003","Board Oversight OR Management Oversight","SOC2:2022.CC.1.2","Governance","bdm@cirque.com","Quarterly","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-004","Business Continuity","SOC2:2022.A.1.2, SOC2:2022.A.1.3, SOC2:2022.CC.8.1, SOC2:2022.CC.9.1","Availability","chris.wren@cirque.com","Annually","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-005","Change Management Policy","SOC2:2022.CC.8.1, SOC2:2022.CC.5.2, SOC2:2022.CC.6.1, SOC2:2022.CC.6.8","Operations","chris.wren@cirque.com","Annually","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-006","Change Management: Application/Software","SOC2:2022.CC.8.1","Operations","chris.wren@cirque.com","As Needed","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-007","Change Management: Emergency Process","SOC2:2022.CC.8.1","Operations","chris.wren@cirque.com","As Needed","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-008","Change Management: Infrastructure","SOC2:2022.CC.8.1, SOC2:2022.A.1.1","Operations","chris.wren@cirque.com","As Needed","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-009","Change Management: Separation of Duties","SOC2:2022.CC.8.1","Operations","brenda.milian@cirque.com","Continuous","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-010","Change Management: Ticketing System","SOC2:2022.CC.8.1","Operations","chris.wren@cirque.com","Continuous","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-011","Code of Conduct","SOC2:2022.CC.1.1, SOC2:2022.CC.3.1","Governance","brenda.milian@cirque.com","As Needed","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-012","Collection: Reliable Source","SOC2:2022.P.3.1","Privacy","chris.wren@cirque.com","As Needed","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-013","Configuration Standards","SOC2:2022.CC.7.1, SOC2:2022.CC.8.1","Operations","chris.wren@cirque.com","Annually","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-014","Contracts","SOC2:2022.CC.2.3, SOC2:2022.CC.9.2, SOC2:2022.P.6.1, SOC2:2022.P.6.4","Governance","chris.wren@cirque.com","As Needed","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-015","Data Classification Policy","SOC2:2022.CC.2.1, SOC2:2022.CC.6.1, SOC2:2022.C.1.1","Confidentiality","chris.wren@cirque.com","Annually","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-016","Data Flow Diagram","SOC2:2022.CC.2.1, SOC2:2022.CC.2.2, SOC2:2022.CC.6.1","Documentation","chris.wren@cirque.com","Annually","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-017","Data Management Policy","SOC2:2022.CC.6.5, SOC2:2022.C.1.1, SOC2:2022.C.1.2, SOC2:2022.P.4.2, SOC2:2022.P.4.3","Confidentiality","chris.wren@cirque.com","Annually","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-018","Data Retention/Deletion","SOC2:2022.CC.6.5, SOC2:2022.C.1.1, SOC2:2022.C.1.2, SOC2:2022.P.3.2, SOC2:2022.P.4.2, SOC2:2022.P.4.3","Confidentiality","chris.wren@cirque.com","Annually","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-019","Disk Encryption","SOC2:2022.CC.6.1","Encryption","chris.wren@cirque.com","Continuous","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-020","Employee Performance","SOC2:2022.CC.1.1, SOC2:2022.CC.1.4, SOC2:2022.CC.1.5","Governance","brenda.milian@cirque.com","Annually","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-021","Employee Shared Drive","SOC2:2022.CC.2.2","Communications","chris.wren@cirque.com","Continuous","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-022","Encryption at Rest","SOC2:2022.CC.6.1, SOC2:2022.PI.1.5","Encryption","chris.wren@cirque.com","Continuous","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-023","Encryption in Transit","SOC2:2022.CC.6.1, SOC2:2022.CC.6.7, SOC2:2022.PI.1.4","Encryption","chris.wren@cirque.com","Continuous","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-024","Firewall Rules","SOC2:2022.CC.6.6","Access","chris.wren@cirque.com","Continuous","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-025","Incident Response: Employee Responsibility","SOC2:2022.CC.2.2, SOC2:2022.CC.7.3, SOC2:2022.CC.7.4, SOC2:2022.P.8.1","Incident Response","chris.wren@cirque.com","Continuous","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-026","Incident Response: Process","SOC2:2022.CC.2.3, SOC2:2022.CC.7.3, SOC2:2022.CC.7.4, SOC2:2022.CC.7.5","Incident Response","chris.wren@cirque.com","As Needed","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-027","Incident Response: Testing","SOC2:2022.CC.7.4, SOC2:2022.CC.7.5","Incident Response","chris.wren@cirque.com","Annually","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-028","Incidents External","SOC2:2022.CC.2.2, SOC2:2022.CC.2.3, SOC2:2022.CC.9.2","Incident Response","chris.wren@cirque.com","Continuous","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-029","Intrusion Detection","SOC2:2022.CC.4.1, SOC2:2022.CC.6.6, SOC2:2022.CC.7.1, SOC2:2022.CC.7.2","Monitoring","chris.wren@cirque.com","As Needed","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-030","Job Descriptions","SOC2:2022.CC.1.3, SOC2:2022.CC.1.4, SOC2:2022.CC.2.2","Governance","brenda.milian@cirque.com","Continuous","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-031","Logical Access Policy","SOC2:2022.CC.5.2, SOC2:2022.CC.6.1, SOC2:2022.CC.6.3","Access","chris.wren@cirque.com","Annually","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-032","Monitoring Infrastructure","SOC2:2022.CC.4.1, SOC2:2022.A.1.1","Monitoring","chris.wren@cirque.com","Continuous","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-033","Network Diagram","SOC2:2022.CC.2.1, SOC2:2022.CC.2.2","Documentation","chris.wren@cirque.com","Annually","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-034","Non Disclosure Agreement","SOC2:2022.CC.9.2","Vendor","brenda.milian@cirque.com","As Needed","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-035","Organizational Chart","SOC2:2022.CC.1.3","Governance","brenda.milian@cirque.com","As Needed","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-036","Password Requirements","SOC2:2022.CC.6.2","Access","chris.wren@cirque.com","Continuous","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-037","Provisioning","SOC2:2022.CC.6.1, SOC2:2022.CC.6.2, SOC2:2022.CC.6.3, SOC2:2022.CC.6.4","Access","chris.wren@cirque.com","As Needed","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-038","Risk Assessment Action Plans","SOC2:2022.CC.3.2, SOC2:2022.CC.5.1","Risk","chris.wren@cirque.com","Annually","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-039","Risk Assessment Methodology","SOC2:2022.CC.3.1, SOC2:2022.CC.3.2, SOC2:2022.CC.3.3, SOC2:2022.CC.3.4, SOC2:2022.CC.5.1, SOC2:2022.CC.9.2","Risk","chris.wren@cirque.com","Annually","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
"CC-040","Risk Assessment Policy","SOC2:2022.CC.3.2","Risk","chris.wren@cirque.com","Annually","Not In Place","Draft control procedure, assign owner, define evidence, run first execution"
